Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Train Precision,Val Precision,Train Recall,Val Recall,Train Kappa,Val Kappa
1,0.44103992571959144,0.5370370370370371,1.448411745183608,1.2189157485961915,0.6589589668961485,0.6589589668961485,0.5089578426610742,0.5089578426610742,0.43723737744280655,0.43723737744280655
2,0.7279480037140205,0.7074074074074074,0.8360694646835327,0.7665483713150024,0.7103869608106895,0.7103869608106895,0.6962583256047914,0.6962583256047914,0.6470880211780278,0.6470880211780278
3,0.8161559888579387,0.7555555555555555,0.5566330692347359,0.6674095690250397,0.7448495606840341,0.7448495606840341,0.7356230328870819,0.7356230328870819,0.7046490428441203,0.7046490428441203
4,0.8765088207985144,0.7777777777777778,0.414900904192644,0.5966188371181488,0.7744203530601812,0.7744203530601812,0.7682969888541294,0.7682969888541294,0.7321915656874576,0.7321915656874576
5,0.8876508820798514,0.7777777777777778,0.3333745458546807,0.633044445514679,0.7874618129474741,0.7874618129474741,0.7774659901804469,0.7774659901804469,0.7329949071250803,0.7329949071250803
6,0.9127205199628597,0.8,0.2680169878637089,0.6108124375343322,0.8012061403508772,0.8012061403508772,0.7927271348648226,0.7927271348648226,0.7590879048248513,0.7590879048248513
7,0.9136490250696379,0.774074074074074,0.25891685135224285,0.6375234544277191,0.7863895709952332,0.7863895709952332,0.7594407145865102,0.7594407145865102,0.7270241153559294,0.7270241153559294
8,0.9331476323119777,0.8074074074074075,0.2022158897974912,0.5920666724443435,0.805085639668973,0.805085639668973,0.7968712167399968,0.7968712167399968,0.7677342509264161,0.7677342509264161
9,0.9591457753017641,0.7518518518518519,0.1523791393812965,0.6981872141361236,0.752710185675872,0.752710185675872,0.7345116879482428,0.7345116879482428,0.7001442092525982,0.7001442092525982
10,0.9554317548746518,0.8074074074074075,0.14310986658229546,0.6729701727628707,0.8032867988056668,0.8032867988056668,0.7925789032850267,0.7925789032850267,0.7675227261437584,0.7675227261437584
11,0.9749303621169917,0.7888888888888889,0.11065185091951314,0.7617088973522186,0.7912490726130543,0.7912490726130543,0.7689900042656593,0.7689900042656593,0.7449410828817182,0.7449410828817182
12,0.9749303621169917,0.8185185185185185,0.09201803058385849,0.7149033874273301,0.8185565498690394,0.8185565498690394,0.8095900387458547,0.8095900387458547,0.781206588608851,0.781206588608851
13,0.9740018570102136,0.8111111111111111,0.09547029260326834,0.7970704227685929,0.8141829715000447,0.8141829715000447,0.8076234572544013,0.8076234572544013,0.7728847105393369,0.7728847105393369
14,0.9823584029712163,0.8,0.07141246843863935,0.7588679403066635,0.7968139521333731,0.7968139521333731,0.7902217498442207,0.7902217498442207,0.7590401269253653,0.7590401269253653
15,0.989786443825441,0.8,0.056766154463676846,0.7993542462587356,0.7992588059295526,0.7992588059295526,0.796321588372405,0.796321588372405,0.7595210212934405,0.7595210212934405
16,0.9888579387186629,0.7925925925925926,0.049515707966159374,0.8241085469722748,0.7894998758310913,0.7894998758310913,0.7803123365792931,0.7803123365792931,0.7498138495904692,0.7498138495904692
17,0.9916434540389972,0.7962962962962963,0.04534311647362569,0.8151537485420703,0.7947006463067424,0.7947006463067424,0.7890303305467058,0.7890303305467058,0.754525167369204,0.754525167369204
18,0.9888579387186629,0.7888888888888889,0.06165762322352213,0.8430350437760353,0.7870443049014478,0.7870443049014478,0.7778477788671042,0.7778477788671042,0.7453462397617275,0.7453462397617275
19,0.9823584029712163,0.7851851851851852,0.04973994600860512,0.8760964203625917,0.7838034115078366,0.7838034115078366,0.7757489478565515,0.7757489478565515,0.7409386424920181,0.7409386424920181
20,0.9935004642525533,0.7555555555555555,0.03501199191326604,0.9666820092126727,0.7608675850201273,0.7608675850201273,0.7465718437740919,0.7465718437740919,0.7050108427552186,0.7050108427552186
21,0.9767873723305478,0.7703703703703704,0.07229611945941168,0.9462492719292641,0.7764433551198257,0.7764433551198257,0.7640126496033336,0.7640126496033336,0.7234063646277387,0.7234063646277387
22,0.9879294336118849,0.762962962962963,0.03910764931317638,0.9837769210338593,0.7684047537363679,0.7684047537363679,0.7502564070508084,0.7502564070508084,0.713803040842691,0.713803040842691
23,0.9925719591457753,0.7703703703703704,0.032454582095584446,0.9703629672527313,0.7766472692004607,0.7766472692004607,0.7608201846039905,0.7608201846039905,0.7229577651264398,0.7229577651264398
24,0.9962859795728877,0.7666666666666667,0.023440053083879107,0.9909027755260468,0.7684095021929412,0.7684095021929412,0.7537071103495361,0.7537071103495361,0.7182795342751619,0.7182795342751619
25,0.9962859795728877,0.7777777777777778,0.023111665073563072,1.037796723842621,0.7749566551409871,0.7749566551409871,0.770668063149348,0.770668063149348,0.7322668076948502,0.7322668076948502
26,0.9981429897864438,0.7814814814814814,0.020693849279161763,1.0771460562944413,0.783478683938454,0.783478683938454,0.7710156666596782,0.7710156666596782,0.7364677077818951,0.7364677077818951
27,0.9953574744661096,0.7703703703703704,0.020862950176438865,1.0514870449900626,0.7662304035833447,0.7662304035833447,0.7587168722224965,0.7587168722224965,0.7230448521747763,0.7230448521747763
28,0.9925719591457753,0.774074074074074,0.024052023969809797,1.035447210073471,0.7701882264795362,0.7701882264795362,0.7699697264603708,0.7699697264603708,0.728486646884273,0.728486646884273
29,0.9935004642525533,0.774074074074074,0.024898723274578944,1.1342740051448346,0.7772944498381807,0.7772944498381807,0.7659678145359005,0.7659678145359005,0.7279709307126931,0.7279709307126931
30,0.9944289693593314,0.7703703703703704,0.036671900491723246,1.1762832082808017,0.7772917813740469,0.7772917813740469,0.767532999239558,0.767532999239558,0.7240401575971382,0.7240401575971382
